1	jaspar_2022_nematodes_m1_MA0260.1	/opt/rsat-tools/rsat_teaching/public_html/tmp/www-data/2022/12/15/matrix-clustering_2022-12-15.141331_YLSxpS/matrix-clustering_data/motif_jaspar_2022_nematodes_m1_MA0260.1.tf	che-1
2	jaspar_2022_nematodes_m2_MA0261.1	/opt/rsat-tools/rsat_teaching/public_html/tmp/www-data/2022/12/15/matrix-clustering_2022-12-15.141331_YLSxpS/matrix-clustering_data/motif_jaspar_2022_nematodes_m2_MA0261.1.tf	lin-14
3	jaspar_2022_nematodes_m3_MA0262.1	/opt/rsat-tools/rsat_teaching/public_html/tmp/www-data/2022/12/15/matrix-clustering_2022-12-15.141331_YLSxpS/matrix-clustering_data/motif_jaspar_2022_nematodes_m3_MA0262.1.tf	mab-3
4	jaspar_2022_nematodes_m4_MA0263.1	/opt/rsat-tools/rsat_teaching/public_html/tmp/www-data/2022/12/15/matrix-clustering_2022-12-15.141331_YLSxpS/matrix-clustering_data/motif_jaspar_2022_nematodes_m4_MA0263.1.tf	ceh-10::ttx-3
5	jaspar_2022_nematodes_m5_MA0264.1	/opt/rsat-tools/rsat_teaching/public_html/tmp/www-data/2022/12/15/matrix-clustering_2022-12-15.141331_YLSxpS/matrix-clustering_data/motif_jaspar_2022_nematodes_m5_MA0264.1.tf	ceh-22
6	jaspar_2022_nematodes_m6_MA0537.1	/opt/rsat-tools/rsat_teaching/public_html/tmp/www-data/2022/12/15/matrix-clustering_2022-12-15.141331_YLSxpS/matrix-clustering_data/motif_jaspar_2022_nematodes_m6_MA0537.1.tf	blmp-1
7	jaspar_2022_nematodes_m7_MA0538.1	/opt/rsat-tools/rsat_teaching/public_html/tmp/www-data/2022/12/15/matrix-clustering_2022-12-15.141331_YLSxpS/matrix-clustering_data/motif_jaspar_2022_nematodes_m7_MA0538.1.tf	daf-12
8	jaspar_2022_nematodes_m8_MA0540.1	/opt/rsat-tools/rsat_teaching/public_html/tmp/www-data/2022/12/15/matrix-clustering_2022-12-15.141331_YLSxpS/matrix-clustering_data/motif_jaspar_2022_nematodes_m8_MA0540.1.tf	dpy-27
9	jaspar_2022_nematodes_m9_MA0541.1	/opt/rsat-tools/rsat_teaching/public_html/tmp/www-data/2022/12/15/matrix-clustering_2022-12-15.141331_YLSxpS/matrix-clustering_data/motif_jaspar_2022_nematodes_m9_MA0541.1.tf	efl-1
10	jaspar_2022_nematodes_m10_MA0542.1	/opt/rsat-tools/rsat_teaching/public_html/tmp/www-data/2022/12/15/matrix-clustering_2022-12-15.141331_YLSxpS/matrix-clustering_data/motif_jaspar_2022_nematodes_m10_MA0542.1.tf	elt-3
11	jaspar_2022_nematodes_m11_MA0543.1	/opt/rsat-tools/rsat_teaching/public_html/tmp/www-data/2022/12/15/matrix-clustering_2022-12-15.141331_YLSxpS/matrix-clustering_data/motif_jaspar_2022_nematodes_m11_MA0543.1.tf	eor-1
12	jaspar_2022_nematodes_m12_MA0544.1	/opt/rsat-tools/rsat_teaching/public_html/tmp/www-data/2022/12/15/matrix-clustering_2022-12-15.141331_YLSxpS/matrix-clustering_data/motif_jaspar_2022_nematodes_m12_MA0544.1.tf	snpc-4
13	jaspar_2022_nematodes_m13_MA0545.1	/opt/rsat-tools/rsat_teaching/public_html/tmp/www-data/2022/12/15/matrix-clustering_2022-12-15.141331_YLSxpS/matrix-clustering_data/motif_jaspar_2022_nematodes_m13_MA0545.1.tf	hlh-1
14	jaspar_2022_nematodes_m14_MA0546.1	/opt/rsat-tools/rsat_teaching/public_html/tmp/www-data/2022/12/15/matrix-clustering_2022-12-15.141331_YLSxpS/matrix-clustering_data/motif_jaspar_2022_nematodes_m14_MA0546.1.tf	pha-4
15	jaspar_2022_nematodes_m15_MA0547.1	/opt/rsat-tools/rsat_teaching/public_html/tmp/www-data/2022/12/15/matrix-clustering_2022-12-15.141331_YLSxpS/matrix-clustering_data/motif_jaspar_2022_nematodes_m15_MA0547.1.tf	skn-1
16	jaspar_2022_nematodes_m16_MA0918.1	/opt/rsat-tools/rsat_teaching/public_html/tmp/www-data/2022/12/15/matrix-clustering_2022-12-15.141331_YLSxpS/matrix-clustering_data/motif_jaspar_2022_nematodes_m16_MA0918.1.tf	unc-62
17	jaspar_2022_nematodes_m17_MA0919.1	/opt/rsat-tools/rsat_teaching/public_html/tmp/www-data/2022/12/15/matrix-clustering_2022-12-15.141331_YLSxpS/matrix-clustering_data/motif_jaspar_2022_nematodes_m17_MA0919.1.tf	dsc-1
